work_id,mp_name,district,implementing_agency,work_category,cost_estimate_lakhs,general_risk,fund_risk,timeline_risk,duplicate_risk,base_risk,final_risk_score,risk_level,inspection_priority,risk_reasons
W11670,Owen Bansal,Nagpur,Public Works Department,Street Lighting,22.92929084968078,45.74,0.0,0.0,0.0,45.74,18.29,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11766,Ishwar Boase,Pune,Zilla Panchayat,Community Health Center,37.56,44.17,0.0,0.0,0.0,44.17,17.67,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10104,Meera Banerjee,Pune,Zilla Panchayat,Community Health Center,49.13,44.05,0.0,0.0,0.0,44.05,17.62,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12568,Leena Butala,Pune,Zilla Panchayat,Road Construction,21.59,43.85,0.0,0.0,0.0,43.85,17.54,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12442,Owen Bansal,Belagavi,Municipal Corporation,School Building Repair,46.62613231508003,41.74,0.0,0.0,0.0,41.74,16.7,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10633,Gaurav Chandra,Pune,Zilla Panchayat,Community Health Center,42.7,41.38,0.0,0.0,0.0,41.38,16.55,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12429,Krishna Pant,Coimbatore,District Rural Development Agency,Community Health Center,44.16,41.21,0.0,0.0,0.0,41.21,16.48,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12183,Ronith Zachariah,Pune,Zilla Panchayat,Road Construction,39.92,39.72,0.0,0.0,0.0,39.72,15.89,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10239,Leena Butala,Pune,Zilla Panchayat,Road Construction,33.33,39.7,0.0,0.0,0.0,39.7,15.88,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11191,Hemang Bava,Agra,Zilla Panchayat,Community Health Center,48.46,39.17,0.0,0.0,0.0,39.17,15.67,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12140,Eesha Memon,Kolkata,District Rural Development Agency,Community Health Center,49.74,38.79,0.0,0.0,0.0,38.79,15.52,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12632,Victor Venkataraman,Dharwad,Zilla Panchayat,Community Health Center,47.14,38.76,0.0,0.0,0.0,38.76,15.5,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11990,Ria Ratta,Coimbatore,Public Works Department,Community Health Center,49.03,38.73,0.0,0.0,0.0,38.73,15.49,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11772,Deepa Gala,Mysuru,Zilla Panchayat,Public Toilet Complex,23.69347963182055,38.66,0.0,0.0,0.0,38.66,15.46,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10118,Gaurav Chandra,Pune,Zilla Panchayat,Road Construction,15.65,38.64,0.0,0.0,0.0,38.64,15.45,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11840,Ekansh Sami,Pune,Zilla Panchayat,Road Construction,28.39,37.84,0.0,0.0,0.0,37.84,15.14,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10400,Advaith Gole,Nashik,Zilla Panchayat,Community Health Center,49.49,37.58,0.0,0.0,0.0,37.58,15.03,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10670,Tanish Iyer,Pune,Zilla Panchayat,Community Health Center,38.62,37.55,0.0,0.0,0.0,37.55,15.02,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12267,Gabriel Thaman,Darjeeling,Public Works Department,Community Health Center,49.37,36.69,0.0,0.0,0.0,36.69,14.68,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12617,Yadavi Deshmukh,Asansol,Municipal Corporation,Community Health Center,48.58,36.71,0.0,0.0,0.0,36.71,14.68,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12871,Yutika Rana,Lucknow,Municipal Corporation,Community Health Center,44.79,36.56,0.0,0.0,0.0,36.56,14.62,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12290,Deepa Gala,Nagpur,State Housing Board,Community Health Center,47.45,36.26,0.0,0.0,0.0,36.26,14.5,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11664,Yamini Chand,Varanasi,Municipal Corporation,Drinking Water Supply,24.0681886,36.21,0.0,0.0,0.0,36.21,14.48,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10057,Gabriel Thaman,Thane,State Housing Board,Community Health Center,46.19,36.08,0.0,0.0,0.0,36.08,14.43,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10385,Christopher Kadakia,Kolkata,Public Works Department,School Building Repair,22.19556034002177,35.84,0.0,0.0,0.0,35.84,14.34,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10466,Vanya Suresh,Madurai,Public Works Department,Community Health Center,32.07,35.76,0.0,0.0,0.0,35.76,14.31,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10183,Ria Ratta,Madurai,District Rural Development Agency,Community Health Center,47.98,35.76,0.0,0.0,0.0,35.76,14.3,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12909,Leena Butala,Asansol,State Housing Board,Community Health Center,47.19,35.56,0.0,0.0,0.0,35.56,14.22,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11680,Owen Bansal,Belagavi,Zilla Panchayat,Community Health Center,46.38,35.42,0.0,0.0,0.0,35.42,14.17,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10484,Ronith Zachariah,Mysuru,State Housing Board,Community Health Center,46.06,35.43,0.0,0.0,0.0,35.43,14.17,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11793,Ekansh Sami,Thane,Public Works Department,Community Health Center,45.22,35.3,0.0,0.0,0.0,35.3,14.12,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12003,Owen Bala,Darjeeling,District Rural Development Agency,Community Health Center,47.23,35.09,0.0,0.0,0.0,35.09,14.04,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10373,Ekansh Sami,Pune,Zilla Panchayat,Road Construction,28.38,35.08,0.0,0.0,0.0,35.08,14.03,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10673,Widisha Yohannan,Pune,Zilla Panchayat,Community Health Center,48.17,35.06,0.0,0.0,0.0,35.06,14.02,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10730,Deepa Gala,Salem,Public Works Department,School Building Repair,8.9,34.97,0.0,0.0,0.0,34.97,13.99,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11639,Nicholas Gour,Darjeeling,Zilla Panchayat,Community Health Center,40.92,34.88,0.0,0.0,0.0,34.88,13.95,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12854,Yamini Chand,Agra,Zilla Panchayat,Community Health Center,40.64,34.88,0.0,0.0,0.0,34.88,13.95,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12676,Ronith Zachariah,Lucknow,Public Works Department,Community Health Center,47.11,34.67,0.0,0.0,0.0,34.67,13.87,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12511,Oliver Sarma,Pune,Zilla Panchayat,Community Health Center,39.04,34.56,0.0,0.0,0.0,34.56,13.82,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12966,Owen Bansal,Thane,District Rural Development Agency,Community Health Center,41.12,33.93,0.0,0.0,0.0,33.93,13.57,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11173,Gabriel Thaman,Nashik,Public Works Department,Public Toilet Complex,2.42,33.73,0.0,0.0,0.0,33.73,13.49,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11696,Azaan Gupta,Thane,Zilla Panchayat,Community Health Center,47.11,33.67,0.0,0.0,0.0,33.67,13.47,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10460,Eesha Memon,Coimbatore,State Housing Board,Community Health Center,46.23,33.54,0.0,0.0,0.0,33.54,13.41,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12344,Ishwar Boase,Coimbatore,Zilla Panchayat,Community Health Center,45.73,33.24,0.0,0.0,0.0,33.24,13.29,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11372,Meera Banerjee,Coimbatore,Municipal Corporation,Community Health Center,46.02,33.12,0.0,0.0,0.0,33.12,13.25,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11175,Triya Khatri,Lucknow,Zilla Panchayat,Community Health Center,44.93,33.08,0.0,0.0,0.0,33.08,13.23,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10845,Gabriel Thaman,Agra,State Housing Board,Community Health Center,45.92,32.94,0.0,0.0,0.0,32.94,13.18,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10398,Yutika Rana,Darjeeling,Zilla Panchayat,Community Health Center,44.05,32.96,0.0,0.0,0.0,32.96,13.18,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10143,Meera Banerjee,Chennai,District Rural Development Agency,Community Health Center,44.47,32.83,0.0,0.0,0.0,32.83,13.13,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10044,Ekansh Sami,Kolkata,Public Works Department,Community Health Center,45.98,32.8,0.0,0.0,0.0,32.8,13.12,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11982,Mugdha Varty,Asansol,Zilla Panchayat,Community Health Center,43.81,32.61,0.0,0.0,0.0,32.61,13.04,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10300,Yug Choudhry,Chennai,District Rural Development Agency,Community Health Center,44.61,32.54,0.0,0.0,0.0,32.54,13.02,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10406,Yutika Rana,Varanasi,Public Works Department,Community Health Center,45.52,32.53,0.0,0.0,0.0,32.53,13.01,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10178,Advaith Gole,Belagavi,Zilla Panchayat,Community Health Center,45.58,32.45,0.0,0.0,0.0,32.45,12.98,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10173,Pallavi Krish,Kolkata,District Rural Development Agency,Community Health Center,44.93,32.38,0.0,0.0,0.0,32.38,12.95,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12070,Varsha Morar,Nagpur,State Housing Board,Community Health Center,46.04,32.33,0.0,0.0,0.0,32.33,12.93,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12859,Onveer Kata,Darjeeling,State Housing Board,Community Health Center,45.07,32.17,0.0,0.0,0.0,32.17,12.87,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10532,Krishna Pant,Coimbatore,Zilla Panchayat,Community Health Center,45.29,32.12,0.0,0.0,0.0,32.12,12.85,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10196,Azaan Gupta,Lucknow,State Housing Board,Community Health Center,45.56,32.1,0.0,0.0,0.0,32.1,12.84,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11701,Ekansh Sami,Nagpur,Zilla Panchayat,Community Health Center,42.97,31.97,0.0,0.0,0.0,31.97,12.79,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11526,Widisha Yohannan,Coimbatore,Public Works Department,Community Health Center,49.97,31.93,0.0,0.0,0.0,31.93,12.77,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12581,Oliver Sarma,Dharwad,Zilla Panchayat,Road Construction,27.63,31.9,0.0,0.0,0.0,31.9,12.76,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10260,Advaith Gole,Agra,District Rural Development Agency,Community Health Center,32.11,31.86,0.0,0.0,0.0,31.86,12.74,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11269,Ekansh Sami,Pune,Zilla Panchayat,Community Health Center,43.3,31.75,0.0,0.0,0.0,31.75,12.7,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10200,Bachittar Choudhry,Belagavi,Zilla Panchayat,Community Health Center,44.57,31.75,0.0,0.0,0.0,31.75,12.7,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10867,Onveer Kata,Pune,Zilla Panchayat,Street Lighting,3.61,31.58,0.0,0.0,0.0,31.58,12.63,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11816,Mugdha Varty,Agra,District Rural Development Agency,Community Health Center,48.65,31.49,0.0,0.0,0.0,31.49,12.6,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12857,Lucky Prashad,Nagpur,Zilla Panchayat,Community Health Center,43.96,31.31,0.0,0.0,0.0,31.31,12.53,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10810,Gabriel Thaman,Bengaluru Urban,Zilla Panchayat,Community Health Center,43.23,31.3,0.0,0.0,0.0,31.3,12.52,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12901,Sanya Swamy,Kanpur,Public Works Department,Community Health Center,33.93,31.26,0.0,0.0,0.0,31.26,12.5,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10517,Ria Ratta,Nashik,District Rural Development Agency,Community Health Center,43.56,31.15,0.0,0.0,0.0,31.15,12.46,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11452,Yutika Rana,Mysuru,State Housing Board,Community Health Center,42.8,31.12,0.0,0.0,0.0,31.12,12.45,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10416,Yadavi Deshmukh,Madurai,District Rural Development Agency,Community Health Center,39.54,31.06,0.0,0.0,0.0,31.06,12.42,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11684,Krishna Pant,Bengaluru Urban,Zilla Panchayat,Community Health Center,40.34,30.83,0.0,0.0,0.0,30.83,12.33,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12321,Sanya Swamy,Kolkata,Municipal Corporation,Community Health Center,42.29,30.69,0.0,0.0,0.0,30.69,12.28,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10610,Gabriel Thaman,Agra,State Housing Board,Community Health Center,42.32,30.68,0.0,0.0,0.0,30.68,12.27,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11622,Owen Bansal,Lucknow,State Housing Board,Road Construction,28.93,30.54,0.0,0.0,0.0,30.54,12.22,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10417,Vrinda Biswas,Salem,District Rural Development Agency,Street Lighting,10.917518242964356,30.53,0.0,0.0,0.0,30.53,12.21,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11389,Ekansh Sami,Pune,Zilla Panchayat,Drainage System,6.17,30.47,0.0,0.0,0.0,30.47,12.19,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12890,Leena Butala,Belagavi,State Housing Board,Community Health Center,41.54,30.46,0.0,0.0,0.0,30.46,12.18,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10981,Oliver Sarma,Howrah,District Rural Development Agency,Community Health Center,29.41,30.45,0.0,0.0,0.0,30.45,12.18,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11380,Ekansh Sami,Nagpur,District Rural Development Agency,Community Health Center,38.88,30.33,0.0,0.0,0.0,30.33,12.13,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12804,Christopher Kadakia,Coimbatore,District Rural Development Agency,Street Lighting,20.901096748739697,30.2,0.0,0.0,0.0,30.2,12.08,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11923,Vrinda Biswas,Agra,Public Works Department,Community Health Center,40.11,30.1,0.0,0.0,0.0,30.1,12.04,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10515,Vanya Suresh,Nagpur,Public Works Department,Community Health Center,42.23,30.08,0.0,0.0,0.0,30.08,12.03,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11429,Christopher Kadakia,Thane,Zilla Panchayat,Road Construction,34.2,30.02,0.0,0.0,0.0,30.02,12.01,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11753,Widisha Yohannan,Coimbatore,Zilla Panchayat,Community Health Center,40.76,30.0,0.0,0.0,0.0,30.0,12.0,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12445,Rayaan Mand,Kanpur,Public Works Department,Community Health Center,39.15,30.0,0.0,0.0,0.0,30.0,12.0,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10566,Christopher Kadakia,Salem,District Rural Development Agency,Community Health Center,47.21,29.94,0.0,0.0,0.0,29.94,11.98,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12249,Ekansh Sami,Bengaluru Urban,Municipal Corporation,Community Health Center,40.22,29.88,0.0,0.0,0.0,29.88,11.95,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11783,Meera Banerjee,Varanasi,State Housing Board,Road Construction,32.56,29.88,0.0,0.0,0.0,29.88,11.95,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10074,Widisha Yohannan,Darjeeling,State Housing Board,Community Health Center,49.87,29.86,0.0,0.0,0.0,29.86,11.94,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10510,Gabriel Thaman,Belagavi,Public Works Department,Community Health Center,44.42,29.83,0.0,0.0,0.0,29.83,11.93,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12167,Yamini Chand,Pune,Zilla Panchayat,Street Lighting,1.46,29.71,0.0,0.0,0.0,29.71,11.89,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11687,Gabriel Thaman,Howrah,Public Works Department,Community Health Center,41.98,29.68,0.0,0.0,0.0,29.68,11.87,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12507,Owen Bala,Madurai,Public Works Department,Community Health Center,41.24,29.63,0.0,0.0,0.0,29.63,11.85,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12189,Owen Bala,Lucknow,District Rural Development Agency,Street Lighting,22.35538126069453,29.62,0.0,0.0,0.0,29.62,11.85,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11566,Leena Butala,Agra,Public Works Department,Community Health Center,47.89,29.55,0.0,0.0,0.0,29.55,11.82,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11563,Odika Naik,Nashik,Public Works Department,Community Health Center,49.59,29.56,0.0,0.0,0.0,29.56,11.82,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12437,Ishwar Boase,Nagpur,Public Works Department,Community Health Center,47.82,29.5,0.0,0.0,0.0,29.5,11.8,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12950,Ria Ratta,Salem,Public Works Department,Road Construction,39.92,29.44,0.0,0.0,0.0,29.44,11.78,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12891,Sanya Swamy,Bengaluru Urban,Public Works Department,Community Health Center,38.35,29.41,0.0,0.0,0.0,29.41,11.76,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11410,Ria Ratta,Coimbatore,District Rural Development Agency,Community Health Center,40.68,29.35,0.0,0.0,0.0,29.35,11.74,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12868,Leena Butala,Mysuru,District Rural Development Agency,Community Health Center,41.61,29.36,0.0,0.0,0.0,29.36,11.74,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11723,Odika Naik,Kolkata,District Rural Development Agency,Road Construction,39.4,29.23,0.0,0.0,0.0,29.23,11.69,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12298,Triya Khatri,Bengaluru Urban,State Housing Board,Street Lighting,3.97,29.1,0.0,0.0,0.0,29.1,11.64,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10702,Gaurav Chandra,Pune,Zilla Panchayat,Road Construction,21.79,29.08,0.0,0.0,0.0,29.08,11.63,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11881,Azaan Gupta,Bengaluru Urban,Public Works Department,Community Health Center,33.96,29.05,0.0,0.0,0.0,29.05,11.62,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11714,Gaurav Chandra,Howrah,District Rural Development Agency,Community Health Center,40.79,28.99,0.0,0.0,0.0,28.99,11.6,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11209,Eesha Memon,Pune,Zilla Panchayat,School Building Repair,11.74,29.0,0.0,0.0,0.0,29.0,11.6,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11812,Yutika Rana,Nagpur,Municipal Corporation,Community Health Center,31.2,28.92,0.0,0.0,0.0,28.92,11.57,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11628,Leena Butala,Kolkata,Zilla Panchayat,Community Health Center,29.85,28.9,0.0,0.0,0.0,28.9,11.56,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12411,Ronith Zachariah,Thane,District Rural Development Agency,Road Construction,38.09,28.86,0.0,0.0,0.0,28.86,11.54,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10946,Leena Butala,Kanpur,Public Works Department,Community Health Center,42.82,28.76,0.0,0.0,0.0,28.76,11.5,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11775,Vrinda Biswas,Pune,Zilla Panchayat,School Building Repair,7.87,28.74,0.0,0.0,0.0,28.74,11.49,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12853,Deepa Gala,Nagpur,Public Works Department,Community Health Center,35.8,28.66,0.0,0.0,0.0,28.66,11.47,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10473,Oliver Sarma,Lucknow,Municipal Corporation,Road Construction,39.32,28.6,0.0,0.0,0.0,28.6,11.44,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12730,Yadavi Deshmukh,Bengaluru Urban,State Housing Board,Street Lighting,4.36,28.46,0.0,0.0,0.0,28.46,11.38,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10411,Vrinda Biswas,Howrah,District Rural Development Agency,Community Health Center,43.23,28.37,0.0,0.0,0.0,28.37,11.35,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12232,Ekansh Sami,Pune,Public Works Department,Road Construction,32.81,28.35,0.0,0.0,0.0,28.35,11.34,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11311,Mugdha Varty,Pune,Zilla Panchayat,Drainage System,12.22,28.33,0.0,0.0,0.0,28.33,11.33,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10694,Krishna Pant,Asansol,Public Works Department,Road Construction,36.17,28.25,0.0,0.0,0.0,28.25,11.3,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10592,Eesha Memon,Thane,State Housing Board,Community Health Center,41.05,28.24,0.0,0.0,0.0,28.24,11.3,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10142,Nicholas Gour,Bengaluru Urban,Public Works Department,Community Health Center,39.88,28.26,0.0,0.0,0.0,28.26,11.3,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11681,Widisha Yohannan,Asansol,Zilla Panchayat,Road Construction,37.69,28.23,0.0,0.0,0.0,28.23,11.29,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11991,Widisha Yohannan,Kolkata,District Rural Development Agency,Community Health Center,29.42,28.18,0.0,0.0,0.0,28.18,11.27,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11485,Christopher Kadakia,Agra,District Rural Development Agency,Community Health Center,33.64,28.04,0.0,0.0,0.0,28.04,11.22,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10890,Meera Banerjee,Darjeeling,Zilla Panchayat,Public Toilet Complex,5.36,28.04,0.0,0.0,0.0,28.04,11.22,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12480,Mugdha Varty,Dharwad,Zilla Panchayat,Community Health Center,46.69,27.96,0.0,0.0,0.0,27.96,11.19,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10017,Ekansh Sami,Salem,Public Works Department,School Building Repair,14.15,27.92,0.0,0.0,0.0,27.92,11.17,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10303,Azaan Gupta,Thane,Public Works Department,Road Construction,39.74,27.84,0.0,0.0,0.0,27.84,11.14,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10376,Owen Bala,Dharwad,Zilla Panchayat,Road Construction,39.59,27.83,0.0,0.0,0.0,27.83,11.13,LOW,NORMAL,No major anomaly detected by the current risk layers.
