state,district,constituency,mp_name,work_id,work_name,work_category,implementing_agency,sanction_amount,expenditure,physical_progress,start_date,expected_completion_date,actual_completion_date,contractor,latitude,longitude,status,existing_rule_score,data_source,data_label,fund_utilization_pct,progress_expenditure_gap,progress_expenditure_mismatch,cost_overrun_amount,cost_overrun_pct,cost_overrun_flag,planned_duration_days,actual_duration_days,delay_days,timeline_delay_flag,high_fund_utilization,record_id,rule_risk_score,rule_risk_level,rule_reasons,ml_anomaly,ml_anomaly_score,ml_anomaly_status,ml_model,ml_risk_score,hybrid_risk_score,hybrid_risk_level,hybrid_risk_reasons,inspection_priority
,Kanpur,,Ria Ratta,W10230,,Drainage System,State Housing Board,6.71,,,,,,,,,Completed,52.23075489,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10230,52.23,MEDIUM,No rule-based risk condition triggered,False,-0.0395,Normal,Isolation Forest,18.02,38.55,LOW,No significant risk indicator detected,LOW
,Asansol,,Hemang Bava,W10993,,Drainage System,Municipal Corporation,6.5,,,,,,,,,Completed,51.58823457728016,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10993,51.59,MEDIUM,No rule-based risk condition triggered,False,-0.0315,Normal,Isolation Forest,48.08,50.19,MEDIUM,No significant risk indicator detected,MEDIUM
,Mysuru,,Deepa Gala,W11271,,Drinking Water Supply,District Rural Development Agency,15.71,,,,,,,,,Completed,51.41735792334016,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11271,51.42,MEDIUM,No rule-based risk condition triggered,False,-0.0294,Normal,Isolation Forest,56.62,53.5,MEDIUM,No significant risk indicator detected,MEDIUM
,Dharwad,,Yug Choudhry,W10669,,School Building Repair,Public Works Department,10.32,,,,,,,,,Completed,51.30126063249732,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10669,51.3,MEDIUM,No rule-based risk condition triggered,False,-0.0395,Normal,Isolation Forest,18.02,37.99,LOW,No significant risk indicator detected,LOW
,Coimbatore,,Hemang Bava,W12754,,Public Toilet Complex,District Rural Development Agency,7.68,,,,,,,,,Completed,50.98882633114116,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12754,50.99,MEDIUM,No rule-based risk condition triggered,False,-0.029,Normal,Isolation Forest,58.33,53.93,MEDIUM,No significant risk indicator detected,MEDIUM
,Asansol,,Onveer Kata,W10865,,Community Health Center,Zilla Panchayat,74.09449409651694,,,,,,,,,Completed,50.590983665168,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10865,50.59,MEDIUM,No rule-based risk condition triggered,True,0.0289,Anomaly,Isolation Forest,99.73,70.25,HIGH,ML: Isolation Forest identified unusual project characteristics,HIGH
,Nagpur,,Sanya Swamy,W12369,,School Building Repair,Public Works Department,11.23,,,,,,,,,Completed,50.50649456,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12369,50.51,MEDIUM,No rule-based risk condition triggered,False,-0.0393,Normal,Isolation Forest,18.72,37.79,LOW,No significant risk indicator detected,LOW
,Belagavi,,Odika Naik,W10038,,Drainage System,Zilla Panchayat,44.42879449315261,,,,,,,,,Ongoing,50.3878908,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10038,50.39,MEDIUM,No rule-based risk condition triggered,True,0.0065,Anomaly,Isolation Forest,96.78,68.95,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Mysuru,,Krishna Pant,W12894,,Road Construction,Zilla Panchayat,59.36178626483484,,,,,,,,,Completed,49.370777040623935,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12894,49.37,MEDIUM,No rule-based risk condition triggered,True,0.0151,Anomaly,Isolation Forest,98.38,68.97,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Pune,,Gaurav Chandra,W10907,,Community Health Center,Zilla Panchayat,45.04,,,,,,,,,Ongoing,48.83024330572489,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10907,48.83,MEDIUM,No rule-based risk condition triggered,True,0.0122,Anomaly,Isolation Forest,97.83,68.43,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Pune,,Oliver Sarma,W12030,,Community Health Center,Zilla Panchayat,43.41,,,,,,,,,Ongoing,47.87689674987536,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12030,47.88,MEDIUM,No rule-based risk condition triggered,True,0.006,Anomaly,Isolation Forest,96.58,67.36,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Pune,,Rayaan Mand,W12572,,Community Health Center,Zilla Panchayat,49.62,,,,,,,,,Ongoing,47.06519216,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12572,47.07,MEDIUM,No rule-based risk condition triggered,True,0.0232,Anomaly,Isolation Forest,99.5,68.04,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Nagpur,,Owen Bansal,W11670,,Street Lighting,Public Works Department,22.92929084968078,,,,,,,,,Ongoing,45.73540706245492,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11670,45.74,MEDIUM,No rule-based risk condition triggered,False,-0.0139,Normal,Isolation Forest,88.07,62.67,MEDIUM,No significant risk indicator detected,HIGH
,Pune,,Ishwar Boase,W11766,,Community Health Center,Zilla Panchayat,37.56,,,,,,,,,Completed,44.17058043207448,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11766,44.17,MEDIUM,No rule-based risk condition triggered,False,-0.0044,Normal,Isolation Forest,93.5,63.9,MEDIUM,No significant risk indicator detected,HIGH
,Pune,,Meera Banerjee,W10104,,Community Health Center,Zilla Panchayat,49.13,,,,,,,,,Completed,44.050385804762335,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10104,44.05,MEDIUM,No rule-based risk condition triggered,True,0.0192,Anomaly,Isolation Forest,99.07,66.06,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Pune,,Leena Butala,W12568,,Road Construction,Zilla Panchayat,21.59,,,,,,,,,Completed,43.847139833170544,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12568,43.85,MEDIUM,No rule-based risk condition triggered,False,-0.0397,Normal,Isolation Forest,17.3,33.23,LOW,No significant risk indicator detected,LOW
,Belagavi,,Owen Bansal,W12442,,School Building Repair,Municipal Corporation,46.62613231508003,,,,,,,,,Completed,41.74358391859787,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12442,41.74,MEDIUM,No rule-based risk condition triggered,True,0.0351,Anomaly,Isolation Forest,99.9,65.0,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Pune,,Gaurav Chandra,W10633,,Community Health Center,Zilla Panchayat,42.7,,,,,,,,,Ongoing,41.37825721333554,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10633,41.38,MEDIUM,No rule-based risk condition triggered,True,0.006,Anomaly,Isolation Forest,96.58,63.46,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Coimbatore,,Krishna Pant,W12429,,Community Health Center,District Rural Development Agency,44.16,,,,,,,,,Ongoing,41.20610921022072,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12429,41.21,MEDIUM,No rule-based risk condition triggered,True,0.006,Anomaly,Isolation Forest,96.58,63.36,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Pune,,Ronith Zachariah,W12183,,Road Construction,Zilla Panchayat,39.92,,,,,,,,,Ongoing,39.71977053946719,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12183,39.72,LOW,No rule-based risk condition triggered,False,-0.0076,Normal,Isolation Forest,92.3,60.75,MEDIUM,No significant risk indicator detected,HIGH
,Pune,,Leena Butala,W10239,,Road Construction,Zilla Panchayat,33.33,,,,,,,,,Ongoing,39.70431100267689,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10239,39.7,LOW,No rule-based risk condition triggered,False,-0.0272,Normal,Isolation Forest,64.7,49.7,MEDIUM,No significant risk indicator detected,MEDIUM
,Agra,,Hemang Bava,W11191,,Community Health Center,Zilla Panchayat,48.46,,,,,,,,,Completed,39.16535597623346,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11191,39.17,LOW,No rule-based risk condition triggered,True,0.0194,Anomaly,Isolation Forest,99.1,63.14,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Kolkata,,Eesha Memon,W12140,,Community Health Center,District Rural Development Agency,49.74,,,,,,,,,Ongoing,38.78911833884817,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12140,38.79,LOW,No rule-based risk condition triggered,True,0.0199,Anomaly,Isolation Forest,99.15,62.93,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Dharwad,,Victor Venkataraman,W12632,,Community Health Center,Zilla Panchayat,47.14,,,,,,,,,Completed,38.75961058789058,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12632,38.76,LOW,No rule-based risk condition triggered,True,0.0167,Anomaly,Isolation Forest,98.77,62.76,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Coimbatore,,Ria Ratta,W11990,,Community Health Center,Public Works Department,49.03,,,,,,,,,Ongoing,38.73430836146733,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11990,38.73,LOW,No rule-based risk condition triggered,True,0.0152,Anomaly,Isolation Forest,98.43,62.61,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Mysuru,,Deepa Gala,W11772,,Public Toilet Complex,Zilla Panchayat,23.69347963182055,,,,,,,,,Ongoing,38.65583518740888,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11772,38.66,LOW,No rule-based risk condition triggered,False,-0.0104,Normal,Isolation Forest,90.62,59.44,MEDIUM,No significant risk indicator detected,MEDIUM
,Pune,,Gaurav Chandra,W10118,,Road Construction,Zilla Panchayat,15.65,,,,,,,,,Ongoing,38.63505618530037,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10118,38.64,LOW,No rule-based risk condition triggered,False,-0.0455,Normal,Isolation Forest,6.45,25.76,LOW,No significant risk indicator detected,LOW
,Pune,,Ekansh Sami,W11840,,Road Construction,Zilla Panchayat,28.39,,,,,,,,,Completed,37.844962991900005,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11840,37.84,LOW,No rule-based risk condition triggered,False,-0.0301,Normal,Isolation Forest,53.48,44.1,MEDIUM,No significant risk indicator detected,MEDIUM
,Nashik,,Advaith Gole,W10400,,Community Health Center,Zilla Panchayat,49.49,,,,,,,,,Ongoing,37.57925235338486,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10400,37.58,LOW,No rule-based risk condition triggered,True,0.0231,Anomaly,Isolation Forest,99.47,62.34,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Pune,,Tanish Iyer,W10670,,Community Health Center,Zilla Panchayat,38.62,,,,,,,,,Ongoing,37.55139986980882,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10670,37.55,LOW,No rule-based risk condition triggered,False,-0.0007,Normal,Isolation Forest,94.73,60.42,MEDIUM,No significant risk indicator detected,HIGH
,Asansol,,Yadavi Deshmukh,W12617,,Community Health Center,Municipal Corporation,48.58,,,,,,,,,Ongoing,36.70928761425086,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12617,36.71,LOW,No rule-based risk condition triggered,True,0.0372,Anomaly,Isolation Forest,99.95,62.01,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Darjeeling,,Gabriel Thaman,W12267,,Community Health Center,Public Works Department,49.37,,,,,,,,,Completed,36.693323921677134,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12267,36.69,LOW,No rule-based risk condition triggered,True,0.0161,Anomaly,Isolation Forest,98.58,61.45,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Lucknow,,Yutika Rana,W12871,,Community Health Center,Municipal Corporation,44.79,,,,,,,,,Ongoing,36.559785240549104,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12871,36.56,LOW,No rule-based risk condition triggered,True,0.027,Anomaly,Isolation Forest,99.63,61.79,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Nagpur,,Deepa Gala,W12290,,Community Health Center,State Housing Board,47.45,,,,,,,,,Ongoing,36.26037952416269,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12290,36.26,LOW,No rule-based risk condition triggered,True,0.0176,Anomaly,Isolation Forest,98.97,61.34,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Varanasi,,Yamini Chand,W11664,,Drinking Water Supply,Municipal Corporation,24.0681886,,,,,,,,,Ongoing,36.20752288339886,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11664,36.21,LOW,No rule-based risk condition triggered,False,-0.0076,Normal,Isolation Forest,92.3,58.65,MEDIUM,No significant risk indicator detected,MEDIUM
,Thane,,Gabriel Thaman,W10057,,Community Health Center,State Housing Board,46.19,,,,,,,,,Completed,36.082289340094086,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10057,36.08,LOW,No rule-based risk condition triggered,True,0.0167,Anomaly,Isolation Forest,98.77,61.16,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Kolkata,,Christopher Kadakia,W10385,,School Building Repair,Public Works Department,22.19556034002177,,,,,,,,,Completed,35.83843267966594,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10385,35.84,LOW,No rule-based risk condition triggered,False,-0.008,Normal,Isolation Forest,92.13,58.36,MEDIUM,No significant risk indicator detected,MEDIUM
,Madurai,,Vanya Suresh,W10466,,Community Health Center,Public Works Department,32.07,,,,,,,,,Ongoing,35.764619929073554,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10466,35.76,LOW,No rule-based risk condition triggered,False,-0.0259,Normal,Isolation Forest,68.27,48.76,MEDIUM,No significant risk indicator detected,MEDIUM
,Madurai,,Ria Ratta,W10183,,Community Health Center,District Rural Development Agency,47.98,,,,,,,,,Completed,35.75942394235412,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10183,35.76,LOW,No rule-based risk condition triggered,True,0.0129,Anomaly,Isolation Forest,97.97,60.64,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Asansol,,Leena Butala,W12909,,Community Health Center,State Housing Board,47.19,,,,,,,,,Ongoing,35.55686333609735,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12909,35.56,LOW,No rule-based risk condition triggered,True,0.0175,Anomaly,Isolation Forest,98.9,60.9,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Mysuru,,Ronith Zachariah,W10484,,Community Health Center,State Housing Board,46.06,,,,,,,,,Completed,35.42946252074367,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10484,35.43,LOW,No rule-based risk condition triggered,True,0.0161,Anomaly,Isolation Forest,98.58,60.69,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Belagavi,,Owen Bansal,W11680,,Community Health Center,Zilla Panchayat,46.38,,,,,,,,,Ongoing,35.42269347265514,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11680,35.42,LOW,No rule-based risk condition triggered,True,0.0151,Anomaly,Isolation Forest,98.38,60.6,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Thane,,Ekansh Sami,W11793,,Community Health Center,Public Works Department,45.22,,,,,,,,,Ongoing,35.29580410674328,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11793,35.3,LOW,No rule-based risk condition triggered,True,0.0067,Anomaly,Isolation Forest,96.88,59.93,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Darjeeling,,Owen Bala,W12003,,Community Health Center,District Rural Development Agency,47.23,,,,,,,,,Ongoing,35.09487280450193,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12003,35.09,LOW,No rule-based risk condition triggered,True,0.0158,Anomaly,Isolation Forest,98.47,60.44,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Pune,,Ekansh Sami,W10373,,Road Construction,Zilla Panchayat,28.38,,,,,,,,,Completed,35.079147823468425,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10373,35.08,LOW,No rule-based risk condition triggered,False,-0.03,Normal,Isolation Forest,53.93,42.62,MEDIUM,No significant risk indicator detected,MEDIUM
,Pune,,Widisha Yohannan,W10673,,Community Health Center,Zilla Panchayat,48.17,,,,,,,,,Ongoing,35.05846315102049,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10673,35.06,LOW,No rule-based risk condition triggered,True,0.0213,Anomaly,Isolation Forest,99.3,60.76,MEDIUM,ML: Isolation Forest identified unusual project characteristics,HIGH
,Salem,,Deepa Gala,W10730,,School Building Repair,Public Works Department,8.9,,,,,,,,,Ongoing,34.96589291626438,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10730,34.97,LOW,No rule-based risk condition triggered,False,-0.0364,Normal,Isolation Forest,26.65,31.64,LOW,No significant risk indicator detected,LOW
,Agra,,Yamini Chand,W12854,,Community Health Center,Zilla Panchayat,40.64,,,,,,,,,Ongoing,34.88009186666821,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12854,34.88,LOW,No rule-based risk condition triggered,True,0.0024,Anomaly,Isolation Forest,95.47,59.12,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Darjeeling,,Nicholas Gour,W11639,,Community Health Center,Zilla Panchayat,40.92,,,,,,,,,Completed,34.87717201497588,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11639,34.88,LOW,No rule-based risk condition triggered,False,-0.0,Normal,Isolation Forest,95.0,58.93,MEDIUM,No significant risk indicator detected,MEDIUM
,Lucknow,,Ronith Zachariah,W12676,,Community Health Center,Public Works Department,47.11,,,,,,,,,Ongoing,34.67042996902687,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12676,34.67,LOW,No rule-based risk condition triggered,True,0.0108,Anomaly,Isolation Forest,97.58,59.83,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Pune,,Oliver Sarma,W12511,,Community Health Center,Zilla Panchayat,39.04,,,,,,,,,Completed,34.556782200092854,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12511,34.56,LOW,No rule-based risk condition triggered,False,-0.0017,Normal,Isolation Forest,94.28,58.45,MEDIUM,No significant risk indicator detected,MEDIUM
,Thane,,Owen Bansal,W12966,,Community Health Center,District Rural Development Agency,41.12,,,,,,,,,Ongoing,33.928555666879646,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12966,33.93,LOW,No rule-based risk condition triggered,False,-0.001,Normal,Isolation Forest,94.52,58.17,MEDIUM,No significant risk indicator detected,MEDIUM
,Nashik,,Gabriel Thaman,W11173,,Public Toilet Complex,Public Works Department,2.42,,,,,,,,,Completed,33.73161994027363,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11173,33.73,LOW,No rule-based risk condition triggered,False,-0.0258,Normal,Isolation Forest,68.57,47.67,MEDIUM,No significant risk indicator detected,MEDIUM
,Thane,,Azaan Gupta,W11696,,Community Health Center,Zilla Panchayat,47.11,,,,,,,,,Completed,33.67433831803138,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11696,33.67,LOW,No rule-based risk condition triggered,True,0.0167,Anomaly,Isolation Forest,98.77,59.71,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Coimbatore,,Eesha Memon,W10460,,Community Health Center,State Housing Board,46.23,,,,,,,,,Ongoing,33.536607441979214,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10460,33.54,LOW,No rule-based risk condition triggered,True,0.0143,Anomaly,Isolation Forest,98.28,59.44,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Coimbatore,,Ishwar Boase,W12344,,Community Health Center,Zilla Panchayat,45.73,,,,,,,,,Ongoing,33.235769594562875,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12344,33.24,LOW,No rule-based risk condition triggered,True,0.0127,Anomaly,Isolation Forest,97.92,59.11,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Coimbatore,,Meera Banerjee,W11372,,Community Health Center,Municipal Corporation,46.02,,,,,,,,,Ongoing,33.12487386746359,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11372,33.12,LOW,No rule-based risk condition triggered,True,0.0307,Anomaly,Isolation Forest,99.8,59.79,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Lucknow,,Triya Khatri,W11175,,Community Health Center,Zilla Panchayat,44.93,,,,,,,,,Completed,33.081283437897326,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11175,33.08,LOW,No rule-based risk condition triggered,True,0.0103,Anomaly,Isolation Forest,97.47,58.84,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Darjeeling,,Yutika Rana,W10398,,Community Health Center,Zilla Panchayat,44.05,,,,,,,,,Completed,32.955938085294164,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10398,32.96,LOW,No rule-based risk condition triggered,True,0.0058,Anomaly,Isolation Forest,96.45,58.36,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Agra,,Gabriel Thaman,W10845,,Community Health Center,State Housing Board,45.92,,,,,,,,,Completed,32.94290175443714,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10845,32.94,LOW,No rule-based risk condition triggered,True,0.016,Anomaly,Isolation Forest,98.52,59.17,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Chennai,,Meera Banerjee,W10143,,Community Health Center,District Rural Development Agency,44.47,,,,,,,,,Completed,32.83236742951362,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10143,32.83,LOW,No rule-based risk condition triggered,True,0.0046,Anomaly,Isolation Forest,96.17,58.17,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Kolkata,,Ekansh Sami,W10044,,Community Health Center,Public Works Department,45.98,,,,,,,,,Completed,32.804326798317724,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10044,32.8,LOW,No rule-based risk condition triggered,True,0.0096,Anomaly,Isolation Forest,97.3,58.6,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Asansol,,Mugdha Varty,W11982,,Community Health Center,Zilla Panchayat,43.81,,,,,,,,,Completed,32.611876485287446,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11982,32.61,LOW,No rule-based risk condition triggered,True,0.0058,Anomaly,Isolation Forest,96.45,58.15,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Chennai,,Yug Choudhry,W10300,,Community Health Center,District Rural Development Agency,44.61,,,,,,,,,Ongoing,32.53782435243231,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10300,32.54,LOW,No rule-based risk condition triggered,True,0.0073,Anomaly,Isolation Forest,97.02,58.33,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Varanasi,,Yutika Rana,W10406,,Community Health Center,Public Works Department,45.52,,,,,,,,,Completed,32.529342910093405,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10406,32.53,LOW,No rule-based risk condition triggered,True,0.0091,Anomaly,Isolation Forest,97.2,58.4,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
