work_id,mp_name,district,implementing_agency,work_category,final_risk_score,risk_level,inspection_priority,general_risk,fund_risk,timeline_risk,duplicate_risk,base_risk,explanation,why_flagged,recommended_action
W10993,Hemang Bava,Asansol,Municipal Corporation,Drainage System,20.64,LOW,NORMAL,51.59,0.0,0.0,0.0,51.59,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W11271,Deepa Gala,Mysuru,District Rural Development Agency,Drinking Water Supply,20.57,LOW,NORMAL,51.42,0.0,0.0,0.0,51.42,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W10669,Yug Choudhry,Dharwad,Public Works Department,School Building Repair,20.52,LOW,NORMAL,51.3,0.0,0.0,0.0,51.3,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12754,Hemang Bava,Coimbatore,District Rural Development Agency,Public Toilet Complex,20.4,LOW,NORMAL,50.99,0.0,0.0,0.0,50.99,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12369,Sanya Swamy,Nagpur,Public Works Department,School Building Repair,20.2,LOW,NORMAL,50.51,0.0,0.0,0.0,50.51,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W10038,Odika Naik,Belagavi,Zilla Panchayat,Drainage System,20.16,LOW,NORMAL,50.39,0.0,0.0,0.0,50.39,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W10907,Gaurav Chandra,Pune,Zilla Panchayat,Community Health Center,19.53,LOW,NORMAL,48.83,0.0,0.0,0.0,48.83,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12030,Oliver Sarma,Pune,Zilla Panchayat,Community Health Center,19.15,LOW,NORMAL,47.88,0.0,0.0,0.0,47.88,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12572,Rayaan Mand,Pune,Zilla Panchayat,Community Health Center,18.83,LOW,NORMAL,47.07,0.0,0.0,0.0,47.07,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W11670,Owen Bansal,Nagpur,Public Works Department,Street Lighting,18.29,LOW,NORMAL,45.74,0.0,0.0,0.0,45.74,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W11766,Ishwar Boase,Pune,Zilla Panchayat,Community Health Center,17.67,LOW,NORMAL,44.17,0.0,0.0,0.0,44.17,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W10104,Meera Banerjee,Pune,Zilla Panchayat,Community Health Center,17.62,LOW,NORMAL,44.05,0.0,0.0,0.0,44.05,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12568,Leena Butala,Pune,Zilla Panchayat,Road Construction,17.54,LOW,NORMAL,43.85,0.0,0.0,0.0,43.85,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12442,Owen Bansal,Belagavi,Municipal Corporation,School Building Repair,16.7,LOW,NORMAL,41.74,0.0,0.0,0.0,41.74,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W10633,Gaurav Chandra,Pune,Zilla Panchayat,Community Health Center,16.55,LOW,NORMAL,41.38,0.0,0.0,0.0,41.38,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12429,Krishna Pant,Coimbatore,District Rural Development Agency,Community Health Center,16.48,LOW,NORMAL,41.21,0.0,0.0,0.0,41.21,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12183,Ronith Zachariah,Pune,Zilla Panchayat,Road Construction,15.89,LOW,NORMAL,39.72,0.0,0.0,0.0,39.72,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10239,Leena Butala,Pune,Zilla Panchayat,Road Construction,15.88,LOW,NORMAL,39.7,0.0,0.0,0.0,39.7,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11191,Hemang Bava,Agra,Zilla Panchayat,Community Health Center,15.67,LOW,NORMAL,39.17,0.0,0.0,0.0,39.17,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12140,Eesha Memon,Kolkata,District Rural Development Agency,Community Health Center,15.52,LOW,NORMAL,38.79,0.0,0.0,0.0,38.79,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12632,Victor Venkataraman,Dharwad,Zilla Panchayat,Community Health Center,15.5,LOW,NORMAL,38.76,0.0,0.0,0.0,38.76,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11990,Ria Ratta,Coimbatore,Public Works Department,Community Health Center,15.49,LOW,NORMAL,38.73,0.0,0.0,0.0,38.73,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11772,Deepa Gala,Mysuru,Zilla Panchayat,Public Toilet Complex,15.46,LOW,NORMAL,38.66,0.0,0.0,0.0,38.66,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10118,Gaurav Chandra,Pune,Zilla Panchayat,Road Construction,15.45,LOW,NORMAL,38.64,0.0,0.0,0.0,38.64,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11840,Ekansh Sami,Pune,Zilla Panchayat,Road Construction,15.14,LOW,NORMAL,37.84,0.0,0.0,0.0,37.84,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10400,Advaith Gole,Nashik,Zilla Panchayat,Community Health Center,15.03,LOW,NORMAL,37.58,0.0,0.0,0.0,37.58,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10670,Tanish Iyer,Pune,Zilla Panchayat,Community Health Center,15.02,LOW,NORMAL,37.55,0.0,0.0,0.0,37.55,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12267,Gabriel Thaman,Darjeeling,Public Works Department,Community Health Center,14.68,LOW,NORMAL,36.69,0.0,0.0,0.0,36.69,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12617,Yadavi Deshmukh,Asansol,Municipal Corporation,Community Health Center,14.68,LOW,NORMAL,36.71,0.0,0.0,0.0,36.71,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12871,Yutika Rana,Lucknow,Municipal Corporation,Community Health Center,14.62,LOW,NORMAL,36.56,0.0,0.0,0.0,36.56,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12290,Deepa Gala,Nagpur,State Housing Board,Community Health Center,14.5,LOW,NORMAL,36.26,0.0,0.0,0.0,36.26,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11664,Yamini Chand,Varanasi,Municipal Corporation,Drinking Water Supply,14.48,LOW,NORMAL,36.21,0.0,0.0,0.0,36.21,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10057,Gabriel Thaman,Thane,State Housing Board,Community Health Center,14.43,LOW,NORMAL,36.08,0.0,0.0,0.0,36.08,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10385,Christopher Kadakia,Kolkata,Public Works Department,School Building Repair,14.34,LOW,NORMAL,35.84,0.0,0.0,0.0,35.84,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10466,Vanya Suresh,Madurai,Public Works Department,Community Health Center,14.31,LOW,NORMAL,35.76,0.0,0.0,0.0,35.76,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10183,Ria Ratta,Madurai,District Rural Development Agency,Community Health Center,14.3,LOW,NORMAL,35.76,0.0,0.0,0.0,35.76,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12909,Leena Butala,Asansol,State Housing Board,Community Health Center,14.22,LOW,NORMAL,35.56,0.0,0.0,0.0,35.56,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11680,Owen Bansal,Belagavi,Zilla Panchayat,Community Health Center,14.17,LOW,NORMAL,35.42,0.0,0.0,0.0,35.42,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10484,Ronith Zachariah,Mysuru,State Housing Board,Community Health Center,14.17,LOW,NORMAL,35.43,0.0,0.0,0.0,35.43,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11793,Ekansh Sami,Thane,Public Works Department,Community Health Center,14.12,LOW,NORMAL,35.3,0.0,0.0,0.0,35.3,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12003,Owen Bala,Darjeeling,District Rural Development Agency,Community Health Center,14.04,LOW,NORMAL,35.09,0.0,0.0,0.0,35.09,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10373,Ekansh Sami,Pune,Zilla Panchayat,Road Construction,14.03,LOW,NORMAL,35.08,0.0,0.0,0.0,35.08,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10673,Widisha Yohannan,Pune,Zilla Panchayat,Community Health Center,14.02,LOW,NORMAL,35.06,0.0,0.0,0.0,35.06,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10730,Deepa Gala,Salem,Public Works Department,School Building Repair,13.99,LOW,NORMAL,34.97,0.0,0.0,0.0,34.97,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11639,Nicholas Gour,Darjeeling,Zilla Panchayat,Community Health Center,13.95,LOW,NORMAL,34.88,0.0,0.0,0.0,34.88,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12854,Yamini Chand,Agra,Zilla Panchayat,Community Health Center,13.95,LOW,NORMAL,34.88,0.0,0.0,0.0,34.88,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12676,Ronith Zachariah,Lucknow,Public Works Department,Community Health Center,13.87,LOW,NORMAL,34.67,0.0,0.0,0.0,34.67,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12511,Oliver Sarma,Pune,Zilla Panchayat,Community Health Center,13.82,LOW,NORMAL,34.56,0.0,0.0,0.0,34.56,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12966,Owen Bansal,Thane,District Rural Development Agency,Community Health Center,13.57,LOW,NORMAL,33.93,0.0,0.0,0.0,33.93,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11173,Gabriel Thaman,Nashik,Public Works Department,Public Toilet Complex,13.49,LOW,NORMAL,33.73,0.0,0.0,0.0,33.73,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11696,Azaan Gupta,Thane,Zilla Panchayat,Community Health Center,13.47,LOW,NORMAL,33.67,0.0,0.0,0.0,33.67,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10460,Eesha Memon,Coimbatore,State Housing Board,Community Health Center,13.41,LOW,NORMAL,33.54,0.0,0.0,0.0,33.54,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12344,Ishwar Boase,Coimbatore,Zilla Panchayat,Community Health Center,13.29,LOW,NORMAL,33.24,0.0,0.0,0.0,33.24,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11372,Meera Banerjee,Coimbatore,Municipal Corporation,Community Health Center,13.25,LOW,NORMAL,33.12,0.0,0.0,0.0,33.12,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11175,Triya Khatri,Lucknow,Zilla Panchayat,Community Health Center,13.23,LOW,NORMAL,33.08,0.0,0.0,0.0,33.08,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10845,Gabriel Thaman,Agra,State Housing Board,Community Health Center,13.18,LOW,NORMAL,32.94,0.0,0.0,0.0,32.94,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10398,Yutika Rana,Darjeeling,Zilla Panchayat,Community Health Center,13.18,LOW,NORMAL,32.96,0.0,0.0,0.0,32.96,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10143,Meera Banerjee,Chennai,District Rural Development Agency,Community Health Center,13.13,LOW,NORMAL,32.83,0.0,0.0,0.0,32.83,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10044,Ekansh Sami,Kolkata,Public Works Department,Community Health Center,13.12,LOW,NORMAL,32.8,0.0,0.0,0.0,32.8,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11982,Mugdha Varty,Asansol,Zilla Panchayat,Community Health Center,13.04,LOW,NORMAL,32.61,0.0,0.0,0.0,32.61,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10300,Yug Choudhry,Chennai,District Rural Development Agency,Community Health Center,13.02,LOW,NORMAL,32.54,0.0,0.0,0.0,32.54,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10406,Yutika Rana,Varanasi,Public Works Department,Community Health Center,13.01,LOW,NORMAL,32.53,0.0,0.0,0.0,32.53,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10178,Advaith Gole,Belagavi,Zilla Panchayat,Community Health Center,12.98,LOW,NORMAL,32.45,0.0,0.0,0.0,32.45,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10173,Pallavi Krish,Kolkata,District Rural Development Agency,Community Health Center,12.95,LOW,NORMAL,32.38,0.0,0.0,0.0,32.38,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12070,Varsha Morar,Nagpur,State Housing Board,Community Health Center,12.93,LOW,NORMAL,32.33,0.0,0.0,0.0,32.33,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12859,Onveer Kata,Darjeeling,State Housing Board,Community Health Center,12.87,LOW,NORMAL,32.17,0.0,0.0,0.0,32.17,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10532,Krishna Pant,Coimbatore,Zilla Panchayat,Community Health Center,12.85,LOW,NORMAL,32.12,0.0,0.0,0.0,32.12,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10196,Azaan Gupta,Lucknow,State Housing Board,Community Health Center,12.84,LOW,NORMAL,32.1,0.0,0.0,0.0,32.1,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11701,Ekansh Sami,Nagpur,Zilla Panchayat,Community Health Center,12.79,LOW,NORMAL,31.97,0.0,0.0,0.0,31.97,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11526,Widisha Yohannan,Coimbatore,Public Works Department,Community Health Center,12.77,LOW,NORMAL,31.93,0.0,0.0,0.0,31.93,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12581,Oliver Sarma,Dharwad,Zilla Panchayat,Road Construction,12.76,LOW,NORMAL,31.9,0.0,0.0,0.0,31.9,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10260,Advaith Gole,Agra,District Rural Development Agency,Community Health Center,12.74,LOW,NORMAL,31.86,0.0,0.0,0.0,31.86,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11269,Ekansh Sami,Pune,Zilla Panchayat,Community Health Center,12.7,LOW,NORMAL,31.75,0.0,0.0,0.0,31.75,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10200,Bachittar Choudhry,Belagavi,Zilla Panchayat,Community Health Center,12.7,LOW,NORMAL,31.75,0.0,0.0,0.0,31.75,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10867,Onveer Kata,Pune,Zilla Panchayat,Street Lighting,12.63,LOW,NORMAL,31.58,0.0,0.0,0.0,31.58,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11816,Mugdha Varty,Agra,District Rural Development Agency,Community Health Center,12.6,LOW,NORMAL,31.49,0.0,0.0,0.0,31.49,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12857,Lucky Prashad,Nagpur,Zilla Panchayat,Community Health Center,12.53,LOW,NORMAL,31.31,0.0,0.0,0.0,31.31,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10810,Gabriel Thaman,Bengaluru Urban,Zilla Panchayat,Community Health Center,12.52,LOW,NORMAL,31.3,0.0,0.0,0.0,31.3,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12901,Sanya Swamy,Kanpur,Public Works Department,Community Health Center,12.5,LOW,NORMAL,31.26,0.0,0.0,0.0,31.26,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10517,Ria Ratta,Nashik,District Rural Development Agency,Community Health Center,12.46,LOW,NORMAL,31.15,0.0,0.0,0.0,31.15,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11452,Yutika Rana,Mysuru,State Housing Board,Community Health Center,12.45,LOW,NORMAL,31.12,0.0,0.0,0.0,31.12,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10416,Yadavi Deshmukh,Madurai,District Rural Development Agency,Community Health Center,12.42,LOW,NORMAL,31.06,0.0,0.0,0.0,31.06,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11684,Krishna Pant,Bengaluru Urban,Zilla Panchayat,Community Health Center,12.33,LOW,NORMAL,30.83,0.0,0.0,0.0,30.83,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
