work_id,mp_name,district,implementing_agency,work_category,cost_estimate_lakhs,status,risk_score,reasons_text
W12267,Gabriel Thaman,Darjeeling,Public Works Department,Community Health Center,49.37,Completed,36.693323921677134,Flagged by ML pattern only
W12871,Yutika Rana,Lucknow,Municipal Corporation,Community Health Center,44.79,Ongoing,36.559785240549104,Still ongoing 2+ years after sanction
W12290,Deepa Gala,Nagpur,State Housing Board,Community Health Center,47.45,Ongoing,36.26037952416269,Still ongoing 2+ years after sanction
W11664,Yamini Chand,Varanasi,Municipal Corporation,Drinking Water Supply,24.0681886,Ongoing,36.20752288339886,Cost is unusually high for 'Drinking Water Supply' works; Still ongoing 2+ years after sanction
W10057,Gabriel Thaman,Thane,State Housing Board,Community Health Center,46.19,Completed,36.082289340094086,Flagged by ML pattern only
W10385,Christopher Kadakia,Kolkata,Public Works Department,School Building Repair,22.19556034002177,Completed,35.83843267966594,Cost is unusually high for 'School Building Repair' works
W10466,Vanya Suresh,Madurai,Public Works Department,Community Health Center,32.07,Ongoing,35.764619929073554,Near-duplicate work description under same agency
W10183,Ria Ratta,Madurai,District Rural Development Agency,Community Health Center,47.98,Completed,35.75942394235412,Flagged by ML pattern only
W12909,Leena Butala,Asansol,State Housing Board,Community Health Center,47.19,Ongoing,35.55686333609735,Still ongoing 2+ years after sanction
W10484,Ronith Zachariah,Mysuru,State Housing Board,Community Health Center,46.06,Completed,35.42946252074367,Flagged by ML pattern only
W11680,Owen Bansal,Belagavi,Zilla Panchayat,Community Health Center,46.38,Ongoing,35.42269347265514,Still ongoing 2+ years after sanction
W11793,Ekansh Sami,Thane,Public Works Department,Community Health Center,45.22,Ongoing,35.295804106743276,Still ongoing 2+ years after sanction
W12003,Owen Bala,Darjeeling,District Rural Development Agency,Community Health Center,47.23,Ongoing,35.09487280450193,Still ongoing 2+ years after sanction
W10373,Ekansh Sami,Pune,Zilla Panchayat,Road Construction,28.38,Completed,35.079147823468425,Agency handles a disproportionate share of Pune's works
W10673,Widisha Yohannan,Pune,Zilla Panchayat,Community Health Center,48.17,Ongoing,35.05846315102049,Agency handles a disproportionate share of Pune's works
W10730,Deepa Gala,Salem,Public Works Department,School Building Repair,8.9,Ongoing,34.96589291626438,Near-duplicate work description under same agency; Still ongoing 2+ years after sanction
W12854,Yamini Chand,Agra,Zilla Panchayat,Community Health Center,40.64,Ongoing,34.88009186666821,Still ongoing 2+ years after sanction
W11639,Nicholas Gour,Darjeeling,Zilla Panchayat,Community Health Center,40.92,Completed,34.87717201497588,Flagged by ML pattern only
W12676,Ronith Zachariah,Lucknow,Public Works Department,Community Health Center,47.11,Ongoing,34.67042996902687,Still ongoing 2+ years after sanction
W12511,Oliver Sarma,Pune,Zilla Panchayat,Community Health Center,39.04,Completed,34.556782200092854,Agency handles a disproportionate share of Pune's works
W12966,Owen Bansal,Thane,District Rural Development Agency,Community Health Center,41.12,Ongoing,33.928555666879646,Still ongoing 2+ years after sanction
W11173,Gabriel Thaman,Nashik,Public Works Department,Public Toilet Complex,2.42,Completed,33.73161994027363,Near-duplicate work description under same agency
W11696,Azaan Gupta,Thane,Zilla Panchayat,Community Health Center,47.11,Completed,33.67433831803138,Flagged by ML pattern only
W10460,Eesha Memon,Coimbatore,State Housing Board,Community Health Center,46.23,Ongoing,33.536607441979214,Still ongoing 2+ years after sanction
W12344,Ishwar Boase,Coimbatore,Zilla Panchayat,Community Health Center,45.73,Ongoing,33.235769594562875,Still ongoing 2+ years after sanction
W11372,Meera Banerjee,Coimbatore,Municipal Corporation,Community Health Center,46.02,Ongoing,33.12487386746359,Still ongoing 2+ years after sanction
W11175,Triya Khatri,Lucknow,Zilla Panchayat,Community Health Center,44.93,Completed,33.081283437897326,Flagged by ML pattern only
W10398,Yutika Rana,Darjeeling,Zilla Panchayat,Community Health Center,44.05,Completed,32.955938085294164,Flagged by ML pattern only
W10845,Gabriel Thaman,Agra,State Housing Board,Community Health Center,45.92,Completed,32.94290175443714,Flagged by ML pattern only
W10143,Meera Banerjee,Chennai,District Rural Development Agency,Community Health Center,44.47,Completed,32.83236742951362,Flagged by ML pattern only
W10044,Ekansh Sami,Kolkata,Public Works Department,Community Health Center,45.98,Completed,32.804326798317724,Flagged by ML pattern only
W11982,Mugdha Varty,Asansol,Zilla Panchayat,Community Health Center,43.81,Completed,32.611876485287446,Flagged by ML pattern only
W10300,Yug Choudhry,Chennai,District Rural Development Agency,Community Health Center,44.61,Ongoing,32.53782435243231,Still ongoing 2+ years after sanction
W10406,Yutika Rana,Varanasi,Public Works Department,Community Health Center,45.52,Completed,32.529342910093405,Flagged by ML pattern only
W10178,Advaith Gole,Belagavi,Zilla Panchayat,Community Health Center,45.58,Ongoing,32.450260219726545,Still ongoing 2+ years after sanction
W10173,Pallavi Krish,Kolkata,District Rural Development Agency,Community Health Center,44.93,Ongoing,32.38373581028931,Still ongoing 2+ years after sanction
W12070,Varsha Morar,Nagpur,State Housing Board,Community Health Center,46.04,Completed,32.33048502105121,Flagged by ML pattern only
W12859,Onveer Kata,Darjeeling,State Housing Board,Community Health Center,45.07,Ongoing,32.16734249640129,Still ongoing 2+ years after sanction
W10532,Krishna Pant,Coimbatore,Zilla Panchayat,Community Health Center,45.29,Ongoing,32.115186401799036,Still ongoing 2+ years after sanction
W10196,Azaan Gupta,Lucknow,State Housing Board,Community Health Center,45.56,Ongoing,32.09809109,Still ongoing 2+ years after sanction
W11701,Ekansh Sami,Nagpur,Zilla Panchayat,Community Health Center,42.97,Ongoing,31.973484090909807,Still ongoing 2+ years after sanction
W11526,Widisha Yohannan,Coimbatore,Public Works Department,Community Health Center,49.97,Completed,31.927497615187026,Flagged by ML pattern only
W12581,Oliver Sarma,Dharwad,Zilla Panchayat,Road Construction,27.63,Ongoing,31.90340708,Still ongoing 2+ years after sanction
W10260,Advaith Gole,Agra,District Rural Development Agency,Community Health Center,32.11,Ongoing,31.85595959871763,Still ongoing 2+ years after sanction
W10200,Bachittar Choudhry,Belagavi,Zilla Panchayat,Community Health Center,44.57,Ongoing,31.751273385949546,Still ongoing 2+ years after sanction
W11269,Ekansh Sami,Pune,Zilla Panchayat,Community Health Center,43.3,Completed,31.748689122775627,Agency handles a disproportionate share of Pune's works
W10867,Onveer Kata,Pune,Zilla Panchayat,Street Lighting,3.61,Ongoing,31.581958731115883,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W11816,Mugdha Varty,Agra,District Rural Development Agency,Community Health Center,48.65,Completed,31.489254249344885,Flagged by ML pattern only
W12857,Lucky Prashad,Nagpur,Zilla Panchayat,Community Health Center,43.96,Ongoing,31.314341985468577,Still ongoing 2+ years after sanction
W10810,Gabriel Thaman,Bengaluru Urban,Zilla Panchayat,Community Health Center,43.23,Ongoing,31.30262152118798,Still ongoing 2+ years after sanction
W12901,Sanya Swamy,Kanpur,Public Works Department,Community Health Center,33.93,Completed,31.26060257298304,Flagged by ML pattern only
W10517,Ria Ratta,Nashik,District Rural Development Agency,Community Health Center,43.56,Ongoing,31.153340795559405,Still ongoing 2+ years after sanction
W11452,Yutika Rana,Mysuru,State Housing Board,Community Health Center,42.8,Ongoing,31.115268637637282,Still ongoing 2+ years after sanction
W10416,Yadavi Deshmukh,Madurai,District Rural Development Agency,Community Health Center,39.54,Ongoing,31.058001684959013,Still ongoing 2+ years after sanction
W11684,Krishna Pant,Bengaluru Urban,Zilla Panchayat,Community Health Center,40.34,Completed,30.83487372985964,Flagged by ML pattern only
W12321,Sanya Swamy,Kolkata,Municipal Corporation,Community Health Center,42.29,Completed,30.690432313552556,Flagged by ML pattern only
W10610,Gabriel Thaman,Agra,State Housing Board,Community Health Center,42.32,Ongoing,30.684700635791966,Still ongoing 2+ years after sanction
W11622,Owen Bansal,Lucknow,State Housing Board,Road Construction,28.93,Completed,30.53771549327719,Flagged by ML pattern only
W10417,Vrinda Biswas,Salem,District Rural Development Agency,Street Lighting,10.917518242964356,Ongoing,30.530869010289067,Cost is unusually high for 'Street Lighting' works; Still ongoing 2+ years after sanction
W11389,Ekansh Sami,Pune,Zilla Panchayat,Drainage System,6.17,Ongoing,30.466055838880322,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W12890,Leena Butala,Belagavi,State Housing Board,Community Health Center,41.54,Ongoing,30.457340771187543,Still ongoing 2+ years after sanction
W10981,Oliver Sarma,Howrah,District Rural Development Agency,Community Health Center,29.41,Ongoing,30.447818099518795,Still ongoing 2+ years after sanction
W11380,Ekansh Sami,Nagpur,District Rural Development Agency,Community Health Center,38.88,Completed,30.33394824503875,Flagged by ML pattern only
W12804,Christopher Kadakia,Coimbatore,District Rural Development Agency,Street Lighting,20.901096748739697,Completed,30.203870469892145,Cost is unusually high for 'Street Lighting' works
W11923,Vrinda Biswas,Agra,Public Works Department,Community Health Center,40.11,Completed,30.103816558623944,Flagged by ML pattern only
W10515,Vanya Suresh,Nagpur,Public Works Department,Community Health Center,42.23,Ongoing,30.075321624400726,Still ongoing 2+ years after sanction
W11429,Christopher Kadakia,Thane,Zilla Panchayat,Road Construction,34.2,Ongoing,30.020802858831864,Still ongoing 2+ years after sanction
W12445,Rayaan Mand,Kanpur,Public Works Department,Community Health Center,39.15,Ongoing,30.00054731517603,Still ongoing 2+ years after sanction
W11753,Widisha Yohannan,Coimbatore,Zilla Panchayat,Community Health Center,40.76,Completed,30.000273136763397,Flagged by ML pattern only
W10566,Christopher Kadakia,Salem,District Rural Development Agency,Community Health Center,47.21,Completed,29.94135010334911,Flagged by ML pattern only
W12249,Ekansh Sami,Bengaluru Urban,Municipal Corporation,Community Health Center,40.22,Completed,29.882491680289025,Flagged by ML pattern only
W11783,Meera Banerjee,Varanasi,State Housing Board,Road Construction,32.56,Ongoing,29.878753108899186,Still ongoing 2+ years after sanction
W10074,Widisha Yohannan,Darjeeling,State Housing Board,Community Health Center,49.87,Completed,29.857946173706456,Flagged by ML pattern only
W10510,Gabriel Thaman,Belagavi,Public Works Department,Community Health Center,44.42,Completed,29.826239052794513,Flagged by ML pattern only
W12167,Yamini Chand,Pune,Zilla Panchayat,Street Lighting,1.46,Ongoing,29.713297510059185,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W11687,Gabriel Thaman,Howrah,Public Works Department,Community Health Center,41.98,Ongoing,29.68345438822434,Still ongoing 2+ years after sanction
W12507,Owen Bala,Madurai,Public Works Department,Community Health Center,41.24,Completed,29.633845069525663,Flagged by ML pattern only
W12189,Owen Bala,Lucknow,District Rural Development Agency,Street Lighting,22.35538126069453,Ongoing,29.616700567198855,Cost is unusually high for 'Street Lighting' works
W11563,Odika Naik,Nashik,Public Works Department,Community Health Center,49.59,Completed,29.555748120315332,Flagged by ML pattern only
W11566,Leena Butala,Agra,Public Works Department,Community Health Center,47.89,Completed,29.551099273165946,Flagged by ML pattern only
W12437,Ishwar Boase,Nagpur,Public Works Department,Community Health Center,47.82,Completed,29.496619702426017,Flagged by ML pattern only
W12950,Ria Ratta,Salem,Public Works Department,Road Construction,39.92,Ongoing,29.444736780011663,Still ongoing 2+ years after sanction
W12891,Sanya Swamy,Bengaluru Urban,Public Works Department,Community Health Center,38.35,Completed,29.40700721,Flagged by ML pattern only
W12868,Leena Butala,Mysuru,District Rural Development Agency,Community Health Center,41.61,Ongoing,29.357684879805888,Still ongoing 2+ years after sanction
W11410,Ria Ratta,Coimbatore,District Rural Development Agency,Community Health Center,40.68,Ongoing,29.346441116509272,Still ongoing 2+ years after sanction
W11723,Odika Naik,Kolkata,District Rural Development Agency,Road Construction,39.4,Completed,29.23106617101915,Flagged by ML pattern only
W12298,Triya Khatri,Bengaluru Urban,State Housing Board,Street Lighting,3.97,Ongoing,29.099266465639914,Near-duplicate work description under same agency; Still ongoing 2+ years after sanction
W10702,Gaurav Chandra,Pune,Zilla Panchayat,Road Construction,21.79,Completed,29.079329329601546,Agency handles a disproportionate share of Pune's works
W11881,Azaan Gupta,Bengaluru Urban,Public Works Department,Community Health Center,33.96,Ongoing,29.04932189198708,Still ongoing 2+ years after sanction
W11209,Eesha Memon,Pune,Zilla Panchayat,School Building Repair,11.74,Completed,29.00322220828403,Agency handles a disproportionate share of Pune's works
W11714,Gaurav Chandra,Howrah,District Rural Development Agency,Community Health Center,40.79,Ongoing,28.993168937644988,Still ongoing 2+ years after sanction
W11812,Yutika Rana,Nagpur,Municipal Corporation,Community Health Center,31.2,Ongoing,28.919629183152708,Still ongoing 2+ years after sanction
W11628,Leena Butala,Kolkata,Zilla Panchayat,Community Health Center,29.85,Ongoing,28.89649146264039,Still ongoing 2+ years after sanction
W12411,Ronith Zachariah,Thane,District Rural Development Agency,Road Construction,38.09,Completed,28.859828541016675,Flagged by ML pattern only
W10946,Leena Butala,Kanpur,Public Works Department,Community Health Center,42.82,Completed,28.757784855725625,Flagged by ML pattern only
W11775,Vrinda Biswas,Pune,Zilla Panchayat,School Building Repair,7.87,Completed,28.736521703835116,Agency handles a disproportionate share of Pune's works
W12853,Deepa Gala,Nagpur,Public Works Department,Community Health Center,35.8,Ongoing,28.66395190163504,Still ongoing 2+ years after sanction
W10473,Oliver Sarma,Lucknow,Municipal Corporation,Road Construction,39.32,Ongoing,28.601344600358615,Still ongoing 2+ years after sanction
W12730,Yadavi Deshmukh,Bengaluru Urban,State Housing Board,Street Lighting,4.36,Ongoing,28.456820207823792,Near-duplicate work description under same agency; Still ongoing 2+ years after sanction
W10411,Vrinda Biswas,Howrah,District Rural Development Agency,Community Health Center,43.23,Completed,28.368859728219128,Flagged by ML pattern only
W12232,Ekansh Sami,Pune,Public Works Department,Road Construction,32.81,Completed,28.354151083707848,Flagged by ML pattern only
W11311,Mugdha Varty,Pune,Zilla Panchayat,Drainage System,12.22,Completed,28.331315752544455,Agency handles a disproportionate share of Pune's works
W10142,Nicholas Gour,Bengaluru Urban,Public Works Department,Community Health Center,39.88,Ongoing,28.256438167840685,Still ongoing 2+ years after sanction
W10694,Krishna Pant,Asansol,Public Works Department,Road Construction,36.17,Completed,28.254619159021946,Flagged by ML pattern only
W10592,Eesha Memon,Thane,State Housing Board,Community Health Center,41.05,Ongoing,28.23810328952918,Still ongoing 2+ years after sanction
W11681,Widisha Yohannan,Asansol,Zilla Panchayat,Road Construction,37.69,Ongoing,28.229488680522334,Still ongoing 2+ years after sanction
W11991,Widisha Yohannan,Kolkata,District Rural Development Agency,Community Health Center,29.42,Ongoing,28.175166190639445,Still ongoing 2+ years after sanction
W10890,Meera Banerjee,Darjeeling,Zilla Panchayat,Public Toilet Complex,5.36,Completed,28.039256389057552,Flagged by ML pattern only
W11485,Christopher Kadakia,Agra,District Rural Development Agency,Community Health Center,33.64,Completed,28.038863395729887,Flagged by ML pattern only
W12480,Mugdha Varty,Dharwad,Zilla Panchayat,Community Health Center,46.69,Completed,27.962715310500542,Flagged by ML pattern only
W10017,Ekansh Sami,Salem,Public Works Department,School Building Repair,14.15,Ongoing,27.923142146021974,Near-duplicate work description under same agency; Still ongoing 2+ years after sanction
W10303,Azaan Gupta,Thane,Public Works Department,Road Construction,39.74,Ongoing,27.84212585457496,Still ongoing 2+ years after sanction
W10376,Owen Bala,Dharwad,Zilla Panchayat,Road Construction,39.59,Ongoing,27.827857948368838,Still ongoing 2+ years after sanction
W10600,Gabriel Thaman,Pune,Zilla Panchayat,Community Health Center,22.32,Ongoing,27.741185236254413,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W10761,Advaith Gole,Asansol,Public Works Department,Community Health Center,32.49,Completed,27.711055207259182,Flagged by ML pattern only
W10668,Harrison Kapur,Pune,Zilla Panchayat,Drinking Water Supply,16.43,Ongoing,27.70355053205446,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W12404,Lucky Prashad,Dharwad,Public Works Department,Road Construction,39.56,Ongoing,27.66745996133297,Still ongoing 2+ years after sanction
W12246,Owen Bansal,Thane,District Rural Development Agency,Street Lighting,2.52,Ongoing,27.65375456367486,Still ongoing 2+ years after sanction
W12314,Owen Bansal,Kanpur,Public Works Department,Community Health Center,40.3,Ongoing,27.611072090429367,Still ongoing 2+ years after sanction
W12828,Eesha Memon,Coimbatore,District Rural Development Agency,Community Health Center,10.51,Ongoing,27.59342096330871,Near-duplicate work description under same agency; Still ongoing 2+ years after sanction
W10949,Yutika Rana,Dharwad,District Rural Development Agency,Public Toilet Complex,3.85,Completed,27.53821766065521,Flagged by ML pattern only
W10910,Owen Bala,Darjeeling,Public Works Department,Road Construction,39.14,Ongoing,27.53430490036977,Still ongoing 2+ years after sanction
W10748,Meera Banerjee,Mysuru,Municipal Corporation,Community Health Center,40.49,Completed,27.528109413781568,Flagged by ML pattern only
W12284,Deepa Gala,Dharwad,Municipal Corporation,Road Construction,39.21,Ongoing,27.497099591846172,Still ongoing 2+ years after sanction
W12974,Nicholas Gour,Bengaluru Urban,Public Works Department,Street Lighting,2.55,Ongoing,27.479741131150575,Still ongoing 2+ years after sanction
W11761,Nicholas Gour,Madurai,State Housing Board,Community Health Center,40.36,Ongoing,27.463833368380563,Still ongoing 2+ years after sanction
W11719,Azaan Gupta,Chennai,Public Works Department,Community Health Center,49.55,Ongoing,27.425235608506625,Flagged by ML pattern only
W12929,Advaith Gole,Varanasi,Zilla Panchayat,Community Health Center,37.13,Completed,27.422207549004636,Flagged by ML pattern only
W11056,Triya Khatri,Lucknow,State Housing Board,Community Health Center,26.76,Ongoing,27.346159637253145,Still ongoing 2+ years after sanction
W10754,Advaith Gole,Asansol,Public Works Department,Community Health Center,30.46,Ongoing,27.300500935157736,Still ongoing 2+ years after sanction
W12933,Tanish Iyer,Kanpur,Municipal Corporation,Community Health Center,49.15,Ongoing,27.199773255730264,Flagged by ML pattern only
W12782,Ekansh Sami,Madurai,District Rural Development Agency,Community Health Center,38.83,Ongoing,26.953510875389558,Still ongoing 2+ years after sanction
W12452,Triya Khatri,Kanpur,District Rural Development Agency,Community Health Center,45.48,Completed,26.952856788692614,Flagged by ML pattern only
W10387,Varsha Morar,Salem,Zilla Panchayat,Street Lighting,15.449974821245178,Ongoing,26.847835358603948,Cost is unusually high for 'Street Lighting' works
W11503,Meera Banerjee,Salem,District Rural Development Agency,Community Health Center,27.41,Completed,26.789004909714148,Flagged by ML pattern only
W10375,Mugdha Varty,Howrah,Zilla Panchayat,Road Construction,38.22,Ongoing,26.775473337901033,Still ongoing 2+ years after sanction
W11090,Victor Venkataraman,Coimbatore,Municipal Corporation,Community Health Center,47.26,Completed,26.71768952330988,Flagged by ML pattern only
W12561,Rayaan Mand,Bengaluru Urban,Municipal Corporation,Road Construction,36.39,Completed,26.693268503974338,Flagged by ML pattern only
W11097,Oliver Sarma,Pune,Zilla Panchayat,Drinking Water Supply,10.52,Completed,26.67785080203205,Agency handles a disproportionate share of Pune's works
W10351,Pallavi Krish,Coimbatore,Municipal Corporation,Road Construction,36.35,Completed,26.66322327130305,Flagged by ML pattern only
W10022,Harrison Kapur,Bengaluru Urban,District Rural Development Agency,Community Health Center,39.13,Ongoing,26.650516781301707,Still ongoing 2+ years after sanction
W12721,Triya Khatri,Darjeeling,Municipal Corporation,Road Construction,39.05,Ongoing,26.641680064313462,Still ongoing 2+ years after sanction
W10793,Jagat Mangat,Howrah,Public Works Department,Road Construction,39.09,Ongoing,26.568726519485267,Still ongoing 2+ years after sanction
W10578,Yamini Chand,Bengaluru Urban,Municipal Corporation,Community Health Center,36.41,Ongoing,26.567986354998858,Still ongoing 2+ years after sanction
W11242,Oliver Sarma,Dharwad,Zilla Panchayat,Road Construction,38.81,Completed,26.485707362928895,Flagged by ML pattern only
W12291,Meera Banerjee,Coimbatore,Public Works Department,Community Health Center,31.73,Completed,26.474167713031207,Flagged by ML pattern only
W10006,Lucky Prashad,Pune,Zilla Panchayat,Community Health Center,21.12,Ongoing,26.473637037248167,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W11792,Owen Bala,Chennai,Municipal Corporation,Road Construction,35.28,Completed,26.471515298105874,Flagged by ML pattern only
W12340,Victor Venkataraman,Chennai,Public Works Department,Community Health Center,43.68,Completed,26.402487075988127,Flagged by ML pattern only
W11528,Meera Banerjee,Agra,Zilla Panchayat,Community Health Center,39.34,Ongoing,26.398640606769426,Still ongoing 2+ years after sanction
W12911,Advaith Gole,Bengaluru Urban,Zilla Panchayat,Community Health Center,42.49,Completed,26.392911534535713,Flagged by ML pattern only
W10067,Leena Butala,Varanasi,Municipal Corporation,Road Construction,22.71,Completed,26.35578361018798,Flagged by ML pattern only
W11225,Eesha Memon,Kanpur,State Housing Board,Community Health Center,38.05,Completed,26.32014320819259,Flagged by ML pattern only
W12338,Gaurav Chandra,Varanasi,Public Works Department,Road Construction,38.42,Ongoing,26.296361052649804,Still ongoing 2+ years after sanction
W11699,Hemang Bava,Pune,Zilla Panchayat,Road Construction,21.49,Ongoing,26.273540336506713,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W10161,Ishwar Boase,Thane,State Housing Board,School Building Repair,4.95,Completed,26.272494179775613,Near-duplicate work description under same agency
W11185,Pallavi Krish,Dharwad,Municipal Corporation,Drinking Water Supply,4.08,Ongoing,26.270869620035242,Still ongoing 2+ years after sanction
W11381,Ronith Zachariah,Agra,Municipal Corporation,Road Construction,32.41,Completed,26.259980572487457,Flagged by ML pattern only
W10191,Yug Choudhry,Dharwad,Municipal Corporation,Community Health Center,37.2,Ongoing,26.258425206524407,Still ongoing 2+ years after sanction
